tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,negative,1,Customer Service Issue,1,American,,rakugojon,,0,@AmericanAir tried ringing but told me to try again Late Flightr. I'm supposed to be leaving in an hour...,,22/02/2015 12:57,San Francisco,London
5.70E+17,positive,1,,,American,,mattlantz,,0,@AmericanAir You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!,,22/02/2015 12:57,"Tyler, Texas",Central Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.6925,American,,tj_carlson,,0,.@AmericanAir cover a rental car or refund our ticket? - I'll gladly drive 10 hrs home than be stuck here till Tues!,,22/02/2015 12:55,"Brookings, SD",Central Time (US & Canada)
5.70E+17,negative,1,Flight Attendant Complaints,1,American,,stevereasnors,,0,@AmericanAir should reconsider #usairways acquisition. Flight 1843 AA gold flyers insulted by attendant for hanging jacket!,,22/02/2015 12:55,Los Angeles,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,0.3606,American,,ronrisman,,0,@AmericanAir   You neglected to mention the $200 fee per ticket.  I had a medical reason and still have had to jump thru hoops.,,22/02/2015 12:55,New England,Central Time (US & Canada)
5.70E+17,neutral,1,,,American,,elizabethlawley,,0,@AmericanAir yes and I would like a refund.,,22/02/2015 12:55,Chicago,Central Time (US & Canada)
5.70E+17,neutral,1,,,American,,SamuelWatkin,,0,@AmericanAir how realistic is it to make an 80 minute domestic to international transfer at JFK for a non US citizen?,,22/02/2015 12:55,"Maidstone, UK",London
5.70E+17,positive,1,,,American,,EricRoberts,,1,Eliza &amp; I cheated on u @AmericanAir with @AirTahitiNui &amp; it was a lovely flight. But we'll be back! Lots!,,22/02/2015 12:54,"Los Angeles, CA",Pacific Time (US & Canada)
5.70E+17,positive,0.6868,,,American,,IoanGil,,0,@AmericanAir I hope you like the photo :) http://t.co/p7fSLuxEGW,,22/02/2015 12:53,,London
5.70E+17,negative,1,Customer Service Issue,0.7282,American,,otisday,,0,"@AmericanAir @sweetmel If weather is bad, wouldn't your folks try extra hard to communicate...or load bags onto flight 1320...or...anything?",,22/02/2015 12:53,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.3688,American,,sa_craig,,0,"@AmericanAir and how is this not a mechanical issue? All evidence points to the idea that it’s the ILS at CLL at fault, not the weather.",,22/02/2015 12:53,"College Station, TX",Central Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,0.6773,American,,otisday,,0,"@AmericanAir @CAexhibitions Sorry in, like, a general way? Or sorry that incompetence/understaffing is compounding weather issues?",,22/02/2015 12:52,Pekin,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,American,,SentieriMelinda,,0,@AmericanAir please help us get home tomorrow!!!!!,,22/02/2015 12:52,,
5.70E+17,negative,1,Customer Service Issue,0.6887,American,,otisday,,0,"@AmericanAir @tennetexan Too bad there's only, like, 3 people on that team, then. Because this is next level unreal.",,22/02/2015 12:51,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,otisday,,0,"@AmericanAir @marxsterbcow How is this a real life response to a customer service issue? Seriously. Keep trying to call us. Eh, might work.",,22/02/2015 12:51,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.671,American,,shmitty03,,0,@AmericanAir fix the engine of flight AA3031so I don't spend all night in your airport so I can fly home tomorrow,"[33.64199395, -84.44238523]",22/02/2015 12:51,"Long Island, New York ",Quito
5.70E+17,positive,1,,,American,,douglaskgordon,,0,@AmericanAir Thank you.....you do the same!!,,22/02/2015 12:50,"Caribbean, New York and Miami.",Indiana (East)
5.70E+17,negative,1,Customer Service Issue,0.361,American,,otisday,,0,@AmericanAir @ActingOutMgmnt Just make sure they remember to load the bags onto the plane. They Cancelled Flight the flight when they forget...,,22/02/2015 12:49,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.6599,American,,otisday,,0,"@AmericanAir @brewcrewfan8 Is this real life, AA? Like, 2015 real life? You should be emailing/calling/DMing people you've inconvenienced.",,22/02/2015 12:47,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,0.6474,Customer Service Issue,0.6474,American,,KeelyPerez,,0,@AmericanAir hey there me again from yesterday im still on hold,,22/02/2015 12:47,NEONgarden,Quito
5.70E+17,negative,1,Customer Service Issue,1,American,,tennetexan,,0,@AmericanAir weather is unavoidable. Understaffing is controllable,,22/02/2015 12:47,"Pilot Point, Republic of Texas",
5.70E+17,negative,1,Late Flight,0.6424,American,,skogsbergh,,0,"@AmericanAir Not only was 5418 Late Flight, but we've been boarded and waiting for over 30min. WTF?","[32.90771571, -97.04233322]",22/02/2015 12:46,Lake Arrowhead,
5.70E+17,negative,0.7257,Flight Attendant Complaints,0.3919,American,,otisday,,0,@AmericanAir @yvonneokaka When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?,,22/02/2015 12:45,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,0.6426,Cancelled Flight,0.6426,American,,KirstKV,,0,@AmericanAir All flts to JFK Cancelled Flightled Thx to UR agent at SFO Im rebooked on UA. Didn't get name. She was awesome!  #twitterhug #shesaidrun,,22/02/2015 12:45,,Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.6618,American,,jenrpblcn,,0,@AmericanAir I know.  After an hour I got a live person.  It messes up our arrival and car plans at two airports and is costing us more.,,22/02/2015 12:44,"Seattle, WA",Arizona
5.70E+17,neutral,0.6917,,0,American,,csb2107,,0,@AmericanAir I can't get ahold of aadvantage reservations.  I need to ticket a reservation that Cancelled Flights soon.  can you help?,,22/02/2015 12:44,,
5.70E+17,negative,1,Customer Service Issue,1,American,,jadedhippie09,,0,"@AmericanAir i was also told by agents my issues ""aren't their prob"" K fine. I get it. But have some compassion 4 others dealing w/this!!!",,22/02/2015 12:43,,
5.70E+17,negative,1,Flight Attendant Complaints,0.6282,American,,sigmanu56,,0,@AmericanAir What's the status at DFW? Ticket agent at gate A9 was very rude and unhelpful.,,22/02/2015 12:43,"Natchitoches, LA",
5.70E+17,negative,1,Flight Attendant Complaints,0.3555,American,,jadedhippie09,,0,@AmericanAir i was spoken 2 like I'm an idiot and that is not OK!! I don't need to deal w/ that esp after the travel experience I've had,,22/02/2015 12:42,,
5.70E+17,neutral,0.7241,,0,American,,kelseybiscoe,,0,@AmericanAir I am trying to switch my flight to AA 1359 I am currently on AA 2401 at 6:50am MONDAY morn then AA 2586! Help Me!!,,22/02/2015 12:41,,
5.70E+17,negative,1,Customer Service Issue,0.6379,American,,cataattack,,0,@AmericanAir I really hope it departs. They said is because the catering service wasnt available but we can see it next to plane doing nthin,,22/02/2015 12:41,"Buenos Aires, Argentina",Buenos Aires
5.70E+17,negative,1,Customer Service Issue,0.6733,American,,jadedhippie09,,0,@AmericanAir I understand weather is not your fault but ur cs reps are atrocious. I am NOT happy nor will I EVR fly w/ u again.,,22/02/2015 12:40,,
5.70E+17,negative,1,Customer Service Issue,0.3482,American,,bshelton68,,0,"@AmericanAir When I left Orlando, I was 2nd in line for standby. I land and I'm 4th. 'Priority members get first available seats'. Awesome.",,22/02/2015 12:40,Everett,Arizona
5.70E+17,negative,1,Customer Service Issue,0.6888,American,,sweetmel,,0,@AmericanAir You didn't respond to my DM. You tweeted the same canned tweet you're telling everyone else.,,22/02/2015 12:38,"Dallas, TX",Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,sweetmel,,0,@AmericanAir I DMed you my AA &amp; phone #s &amp; you can't have someone call me? What was the point of your response? You didn't resolve anything!,,22/02/2015 12:38,"Dallas, TX",Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.6521,American,,rdaniel10,,0,@AmericanAir don't you guys have an email address? Just put me on the next available flight from ohare,,22/02/2015 12:37,,Eastern Time (US & Canada)
5.70E+17,negative,1,Late Flight,1,American,,billyrobbinscsp,,0,@AmericanAir But Eagle is always Late Flight,,22/02/2015 12:36,,Central Time (US & Canada)
5.70E+17,negative,0.6694,Customer Service Issue,0.3451,American,,angiedrich,,0,@AmericanAir I have never on all my trips on any airline ever nat'l or int'l ever experienced anything like this!,"[33.93939612, -118.38973148]",22/02/2015 12:36,"Santa Monica, CA",Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,MeereeneseKnot,,0,"@AmericanAir your call center won't let me wait on hold, which I would happily do. Am I seriously supposed to just keep calling? Not great",,22/02/2015 12:36,,
5.70E+17,negative,1,Late Flight,1,American,,billyrobbinscsp,,0,@AmericanAir half hour Late Flight leaving DFW...no attempt at an explanation,,22/02/2015 12:35,,Central Time (US & Canada)
5.70E+17,negative,0.6667,Cancelled Flight,0.6667,American,,nicoeats,,0,@AmericanAir I'm on flight 1027 tomorrow that got Cancelled Flightled. Need to find an alternative to get to Dallas. Please help.,,22/02/2015 12:35,"Tokyo, Japan",Eastern Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.6742,American,,Diane_Lowery,,0,"@AmericanAir 30 minutes flight from OKC and then make us wait, 30 minutes cause the gate isn't empty.  #epicfail #poorplanning",,22/02/2015 12:34,Cool suburb N. of Dallas,Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.6234,American,,BaburRaja,,0,"@AmericanAir seems like queue times are very high, in Q waiting for an agent 4 almost  an hour.Flight got Cancelled Flightled. http://t.co/sDm2wvR3zr",,22/02/2015 12:33,"Chelmsford, MA",
5.70E+17,negative,1,Can't Tell,0.6684,American,,CakeNDeath,,0,"@AmericanAir Nah, just horrible dining options outside of club. Luckily Manuel in the Admirals can make a Bloody Mary.",,22/02/2015 12:33,Old City Philly,
5.70E+17,neutral,0.6616,,0,American,,coffeeculture,,0,@AmericanAir any earlier flights SAP-&gt;Mia &amp; Mia -&gt; New York (lga) on 03.03. I'm currently booked on flights 1504 and 1102.,,22/02/2015 12:32,"Dublin, Ireland",Dublin
5.70E+17,negative,1,Customer Service Issue,0.648,American,,SchrierCar,,0,"@AmericanAir no hold times, just disconnections.   There is no excuse for that",,22/02/2015 12:32,,
5.70E+17,negative,1,Customer Service Issue,0.6579,American,,rcshore,,0,".@AmericanAir nice 2 know. I paid 4 a seat. Then you sold my seat. now I bought a 3rd seat. It's a good scam, but a scam all the same.",,22/02/2015 12:31,"Washington, DC",Quito
5.70E+17,negative,0.6384,Customer Service Issue,0.6384,American,,jkordyback,,0,@AmericanAir I’ll play it by ear. I know that you are doing your best. Buy some chewey oatmeal cookies for your customer care folks.,,22/02/2015 12:31,"North Saanich, BC",Pacific Time (US & Canada)
5.70E+17,neutral,0.6767,,0,American,,RafaANieves,,0,"@AmericanAir if business class if full but 1st class empty, do you guys upgrade EXP members to 1st?",,22/02/2015 12:31,,Quito
5.70E+17,negative,1,Customer Service Issue,1,American,,jmgscott,,0,@AmericanAir I've been trying for 4 hours to get hold of someone.,,22/02/2015 12:29,"Dallas, TX",Central Time (US & Canada)
5.70E+17,positive,0.6566,,0,American,,Ag03Recruiter,,0,@AmericanAir thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,,22/02/2015 12:28,"Fort Worth, TX",Central Time (US & Canada)
5.70E+17,negative,0.7021,Late Flight,0.7021,American,,JasonPeppel,,0,@AmericanAir what are my chances of making a connection to El Paso (AA504) with DFW from SAT (AA200) delayed 30 minutes?,,22/02/2015 12:27,,
5.70E+17,negative,1,Customer Service Issue,1,American,,ColourBasis,,0,"@AmericanAir  beyond frustrated with no call back from auto hold or whatever you call it. Entered my number at 11:30 CST, still no call 2:26",,22/02/2015 12:26,"National, based in Texas",Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.6275,American,,TomGasparetti,,0,@AmericanAir ahhhh your silence is golden now.  This tops it all.  Anyone get fired?,,22/02/2015 12:26,,
5.70E+17,negative,0.7094,Customer Service Issue,0.7094,American,,guernicaguy,,0,@AmericanAir Hey AA - can you help with an itinerary for a plat custy?  Stuck in PVR and phones aren't working,,22/02/2015 12:25,,
5.70E+17,negative,0.6541,Customer Service Issue,0.6541,American,,otisday,,0,@AmericanAir @ShannonBloom Where's my DM? Where's my voucher? Who's paying my $70 cab and my $50 car back to JFK tomorrow?,,22/02/2015 12:24,Pekin,Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,catiekate,,0,@AmericanAir we've been on hold for hours.,"[35.22534456, -106.57241352]",22/02/2015 12:23,,
5.70E+17,negative,1,Late Flight,1,American,,otisday,,0,@AmericanAir @Stone9956 Do you dislike delays when they're caused by YOUR crew forgetting to load bags &amp; lazy pilot wanting duty day to end?,,22/02/2015 12:23,Pekin,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,American,,WishUpon_26,,0,@AmericanAir can you guys help me please?,,22/02/2015 12:22,KY,Eastern Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,0.3704,American,,otisday,,0,@AmericanAir @travisamex It's not the weather. It's also gross incompetence. Understaffing. Crew forgetting to load bags. Don't duck truth.,,22/02/2015 12:22,Pekin,Eastern Time (US & Canada)
5.70E+17,neutral,0.6521,,,American,,EricRoberts,,0,http://t.co/EIw2sYb8Fu roberts&amp;s=1 @AmericanAir,,22/02/2015 12:22,"Los Angeles, CA",Pacific Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.7123,American,,Jess_JCW,,0,@AmericanAir .....and they waited 5 hours in a stuffy plane until they could get off then 7 more hrs to get their luggage  #AmericanAirlines,,22/02/2015 12:21,London,London
5.70E+17,neutral,1,,,American,,WishUpon_26,,0,@AmericanAir do you guys have another flight for today that you can book me on from laguardia to louisville ky?,,22/02/2015 12:21,KY,Eastern Time (US & Canada)
5.70E+17,negative,0.6788,Cancelled Flight,0.6788,American,,SarahM0en,,0,@AmericanAir my flight out of TYR tomorrow was Cancelled Flighted due to weather. How long until a rebook?,,22/02/2015 12:20,Nashville TN,Central Time (US & Canada)
5.70E+17,negative,0.644,Cancelled Flight,0.644,American,,sbrandongage,,0,@AmericanAir Has AA Flight 296 from San Antonio to Dallas been Cancelled Flighted?,,22/02/2015 12:20,"Pueblo, CO",Eastern Time (US & Canada)
5.70E+17,negative,1,Flight Booking Problems,0.6643,American,,totestoked,,0,@AmericanAir trying to book a flight on hold- can't get through to a representative on the phone- Advice?,,22/02/2015 12:19,"Naperville, IL ",Eastern Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,1,American,,thepin618,,0,@AmericanAir Cancelled Flights flights arbitrarily on same itinerary.  Weekend ruined for no good reason! No crew = missed Monday am mtg.,,22/02/2015 12:19,,
5.70E+17,neutral,1,,,American,,WishUpon_26,,0,@AmericanAir i need someone to help me out,,22/02/2015 12:19,KY,Eastern Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,1,American,,WishUpon_26,,0,@AmericanAir my flight was Cancelled Flightled from Laguardia to Louisville Ky and i am  stuck at the airport. Do you guys compensate for this?,,22/02/2015 12:18,KY,Eastern Time (US & Canada)
5.70E+17,negative,1,Flight Attendant Complaints,0.708,American,,Jess_JCW,,0,"@AmericanAir &amp; if that wasn't enough, your staff have been so rude &amp; ignored passengers,don't think that should be accepted whatever reason",,22/02/2015 12:18,London,London
5.70E+17,negative,1,longlines,0.6788,American,,Jess_JCW,,0,@AmericanAir I understand the weather issue but you can't expect passengers to wait 24 hours inside airports for whatever reason. Outrageous,,22/02/2015 12:17,London,London
5.70E+17,neutral,1,,,American,,TrueChief77,,0,"@AmericanAir guarantee no retribution? If so, I'd be glad to share.",,22/02/2015 12:17,970 Colorado,
5.70E+17,negative,1,Cancelled Flight,0.6333,American,,tcunningham10,,0,@AmericanAir a friend is having flight Cancelled Flightlations out of LAX to CMH on Feb 23. Anyway to help her? 800 number has been no help,"[40.46692522, -82.64567078]",22/02/2015 12:16,Central Ohio,Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.7255,American,,kiabeveridge,,0,"@AmericanAir I used the ""call back"" feature with an operator regarding my flight, got a call 2 hours Late Flightr and got hung up on. #pleasehelp",,22/02/2015 12:16,Chicago,Mountain Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,GregPoos,,0,"@AmericanAir I need to be at work tomorrow at 8am, therefore that doesn't help.  Direct message faster than calling 800 number? #Backwards",,22/02/2015 12:16,,
5.70E+17,negative,1,Cancelled Flight,1,American,,tim_sheehy,,0,@AmericanAir  ugh Dump us in dfw w/no luggage then Cancelled Flight our flight 3 more times. Sat arrival now Tue?,,22/02/2015 12:16,Washington DC,Central Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,1,American,,TheJoshAbides,,0,"@AmericanAir Cancelled Flights my flight, doesn't send an email, text or call. Then puts me on way earlier flight I might miss now. Thanks AA!",,22/02/2015 12:15,New York City,Eastern Time (US & Canada)
5.70E+17,positive,1,,,American,,iambmac,,0,@AmericanAir DMing you now! Big thanks.,,22/02/2015 12:15,"Columbus, OH, USA",Eastern Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.6774,American,,A_for_AdNauseam,,0,@AmericanAir 3078 is overweight so you pull 2 dozen passengers off? Why not luggage? Seriously?,,22/02/2015 12:14,,
5.70E+17,positive,1,,,American,,howiemandel,,3,@AmericanAir I love your company and your staff is amazing. They just made an uncomfortable situation comfortable,,22/02/2015 12:14,,Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,KCBobolz,,0,@AmericanAir I wait 2+ hrs for CS to call me back re why  flt is cxld/protection &amp; they hang up the minute I answer on 1st ring?,,22/02/2015 12:14,"Milwaukee County, Wisconsin",Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,andyellwood,,0,"@AmericanAir I've been on hold for 55 mins about my Cancelled Flighted international flight. Am out of country, so can't leave a call back #. Help?",,22/02/2015 12:13,"New York, New York",Eastern Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.3358,American,,Jill_Lynnette,,0,I just need a place to sleep when I land without accommodations in PLS @AmericanAir!,,22/02/2015 12:10,,Eastern Time (US & Canada)
5.70E+17,positive,0.6274,,0,American,,Flora_Lola_NYC,,0,@AmericanAir Love the new planes for the JFK-LAX run.  Maybe one day I will be on one where the amenities all function.  #NoCharge #Ever,,22/02/2015 12:10,,Eastern Time (US & Canada)
5.70E+17,negative,1,Can't Tell,1,American,,yourlama,,0,"@AmericanAir Call me Chairman, or call me Emerald. After what you did today to me, you can call me a former customer.","[32.9070889, -97.03785947]",22/02/2015 12:10,,
5.70E+17,positive,1,,,American,,DrCaseyJRudkin,,0,@AmericanAir Flight 236 was great. Fantastic cabin crew. A+ landing. #thankyou #JFK http://t.co/dRW08djHAI,"[40.64946781, -73.76624703]",22/02/2015 12:08,East Coast,
5.70E+17,negative,1,Late Flight,1,American,,cataattack,,0,@AmericanAir Flight 953 NYC-Buenos Aires has been delay since yesterday at 10PM. Is going to take off at 3.30PM now? Give us answers!,,22/02/2015 12:08,"Buenos Aires, Argentina",Buenos Aires
5.70E+17,negative,1,Cancelled Flight,1,American,,KristinaMeyer7,,0,"@AmericanAir Flight Cancelled Flightled, can't go home until tomorrow. I could use dinner and a play, @AmericanAir! It's my first time in NYC.",,22/02/2015 12:05,,Eastern Time (US & Canada)
5.70E+17,positive,1,,,American,,jlhalldc,,0,"Thank you. “@AmericanAir: @jlhalldc Customer Relations will review your concerns and contact you back directly, John.”",,22/02/2015 12:04,"Washington, DC",Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,jontgreen89,,0,@AmericanAir How do I change my flight if the phone system keeps telling me that the representatives are busy?,,22/02/2015 12:04,"Waco, TX",Central Time (US & Canada)
5.70E+17,positive,1,,,American,,Laurelinesblog,,0,@AmericanAir Thanks! He is.,,22/02/2015 12:04,"Chapel Hill, NC",
5.70E+17,negative,1,Bad Flight,1,American,,MDDavis7,,0,@AmericanAir thx for nothing on getting us out of the country and back to US. Broken plane? Come on. Get another one.,,22/02/2015 12:04,US,Eastern Time (US & Canada)
5.70E+17,neutral,0.676,,0,American,,Chad_SMFYM,,0,"“@AmericanAir: @TilleyMonsta George, that doesn't look good. Please follow this link to start the refund process: http://t.co/4gr39s91Dl”😂",,22/02/2015 12:01,,Central Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,1,American,,RussellsWriting,,0,"@AmericanAir my flight was Cancelled Flightled, leaving tomorrow morning. Auto rebooked for a Tuesday night flight but need to arrive Monday.",,22/02/2015 12:01,Los Angeles,Arizona
5.70E+17,negative,0.6684,Late Flight,0.6684,American,,GolfWithWoody,,0,@AmericanAir right on cue with the delays👌,,22/02/2015 12:01,,Quito
5.70E+17,positive,0.3487,,0,American,,KristenReenders,,0,@AmericanAir thank you we got on a different flight to Chicago.,,22/02/2015 12:01,,
5.70E+17,negative,1,Customer Service Issue,1,American,,itsropes,,0,@AmericanAir leaving over 20 minutes Late Flight. No warnings or communication until we were 15 minutes Late Flight. That's called shitty customer svc,,22/02/2015 11:59,Texas,
5.70E+17,neutral,1,,,American,,sanyabun,,0,@AmericanAir Please bring American Airlines to #BlackBerry10,,22/02/2015 11:59,"Nigeria,lagos",
5.70E+17,negative,1,Customer Service Issue,0.6659,American,,SraJackson,,0,"@AmericanAir you have my money, you change my flight, and don't answer your phones! Any other suggestions so I can make my commitment??",,22/02/2015 11:59,New Jersey,Eastern Time (US & Canada)
5.70E+17,neutral,0.6771,,0,American,,daviddtwu,,0,@AmericanAir we have 8 ppl so we need 2 know how many seats are on the next flight. Plz put us on standby for 4 people on the next flight?,,22/02/2015 11:58,"dallas, TX",
